product_code,product_name,group_code_clean,line_id_clean,base_color,fiscal_year,fiscal_month,scenario,scenario_formula,predicted_quantity,asp_used,asp_source,asp_cutoff_date,estimated_revenue,method_type,model_name,run_timestamp
000333002022000,Xe đạp Thống Nhất Super 26 xanh,SPORTBIKE_S,70,Xanh,2026,4,Conservative,Blueprint scenario constant,0.6306690349319124,1450000.0,b. SKU latest transaction unit_price,2026-03-31,914470.1006512729,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000333002022000,Xe đạp Thống Nhất Super 26 xanh,SPORTBIKE_S,70,Xanh,2026,5,Conservative,Blueprint scenario constant,0.6306690349319124,1450000.0,b. SKU latest transaction unit_price,2026-03-31,914470.1006512729,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000333002022000,Xe đạp Thống Nhất Super 26 xanh,SPORTBIKE_S,70,Xanh,2026,6,Conservative,Blueprint scenario constant,0.6306690349319124,1450000.0,b. SKU latest transaction unit_price,2026-03-31,914470.1006512729,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,CITYBIKE_P,20,Đỏ,2026,4,Conservative,Blueprint scenario constant,30.061890665087827,1472741.935483871,b. SKU latest transaction unit_price,2026-03-31,44273407.04240596,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,CITYBIKE_P,20,Đỏ,2026,5,Conservative,Blueprint scenario constant,30.061890665087827,1472741.935483871,b. SKU latest transaction unit_price,2026-03-31,44273407.04240596,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,CITYBIKE_P,20,Đỏ,2026,6,Conservative,Blueprint scenario constant,30.061890665087827,1472741.935483871,b. SKU latest transaction unit_price,2026-03-31,44273407.04240596,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,10,Đen,2026,4,Conservative,Blueprint scenario constant,287.3748569173081,1614963.2570579494,b. SKU latest transaction unit_price,2026-03-31,464099834.92373806,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,10,Đen,2026,5,Conservative,Blueprint scenario constant,287.3748569173081,1614963.2570579494,b. SKU latest transaction unit_price,2026-03-31,464099834.92373806,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,10,Đen,2026,6,Conservative,Blueprint scenario constant,287.3748569173081,1614963.2570579494,b. SKU latest transaction unit_price,2026-03-31,464099834.92373806,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,CITYBIKE_P,9,Xanh Dương,2026,4,Conservative,Blueprint scenario constant,47.5104006315374,1514911.171641791,b. SKU latest transaction unit_price,2026-03-31,71974036.68589321,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,CITYBIKE_P,9,Xanh Dương,2026,5,Conservative,Blueprint scenario constant,47.5104006315374,1514911.171641791,b. SKU latest transaction unit_price,2026-03-31,71974036.68589321,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,CITYBIKE_P,9,Xanh Dương,2026,6,Conservative,Blueprint scenario constant,47.5104006315374,1514911.171641791,b. SKU latest transaction unit_price,2026-03-31,71974036.68589321,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,21,Nâu,2026,4,Conservative,Blueprint scenario constant,273.9205841720939,1592216.6708683474,b. SKU latest transaction unit_price,2026-03-31,436140920.6128043,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,21,Nâu,2026,5,Conservative,Blueprint scenario constant,273.9205841720939,1592216.6708683474,b. SKU latest transaction unit_price,2026-03-31,436140920.6128043,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,21,Nâu,2026,6,Conservative,Blueprint scenario constant,273.9205841720939,1592216.6708683474,b. SKU latest transaction unit_price,2026-03-31,436140920.6128043,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,CITYBIKE_P,13,Nâu,2026,4,Conservative,Blueprint scenario constant,62.22601144661535,1568278.6235294119,b. SKU latest transaction unit_price,2026-03-31,97587723.57922335,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,CITYBIKE_P,13,Nâu,2026,5,Conservative,Blueprint scenario constant,62.22601144661535,1568278.6235294119,b. SKU latest transaction unit_price,2026-03-31,97587723.57922335,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,CITYBIKE_P,13,Nâu,2026,6,Conservative,Blueprint scenario constant,62.22601144661535,1568278.6235294119,b. SKU latest transaction unit_price,2026-03-31,97587723.57922335,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,CITYBIKE_P,21,Đỏ,2026,4,Conservative,Blueprint scenario constant,27.53921452536017,1582822.12,b. SKU latest transaction unit_price,2026-03-31,43589677.91816538,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,CITYBIKE_P,21,Đỏ,2026,5,Conservative,Blueprint scenario constant,27.53921452536017,1582822.12,b. SKU latest transaction unit_price,2026-03-31,43589677.91816538,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,CITYBIKE_P,21,Đỏ,2026,6,Conservative,Blueprint scenario constant,27.53921452536017,1582822.12,b. SKU latest transaction unit_price,2026-03-31,43589677.91816538,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,CITYBIKE_P,18,Đỏ,2026,4,Conservative,Blueprint scenario constant,35.948134991119005,1684974.2745098039,b. SKU latest transaction unit_price,2026-03-31,60571682.67664124,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,CITYBIKE_P,18,Đỏ,2026,5,Conservative,Blueprint scenario constant,35.948134991119005,1684974.2745098039,b. SKU latest transaction unit_price,2026-03-31,60571682.67664124,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,CITYBIKE_P,18,Đỏ,2026,6,Conservative,Blueprint scenario constant,35.948134991119005,1684974.2745098039,b. SKU latest transaction unit_price,2026-03-31,60571682.67664124,core_baseline,group_share_proportional,2026-05-28T15:46:35.504912
