product_code,product_name,group_code_clean,line_id_clean,base_color,fiscal_year,fiscal_month,predicted_quantity,asp_used,asp_source,asp_cutoff_date,estimated_revenue,method_type,model_name,run_timestamp
000102002009000,Xe đạp Thống Nhất We Bare Bears 12 Hồng,UNKNOWN,,Hồng,2026,4,128.0748097370831,1023653.6119402983,b. SKU latest transaction unit_price,2026-03-31,131104241.5859316,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000102002009000,Xe đạp Thống Nhất We Bare Bears 12 Hồng,UNKNOWN,,Hồng,2026,5,39.45247659136152,1023653.6119402983,b. SKU latest transaction unit_price,2026-03-31,40385670.16273729,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000102002009000,Xe đạp Thống Nhất We Bare Bears 12 Hồng,UNKNOWN,,Hồng,2026,6,21.794006920669716,1023653.6119402983,b. SKU latest transaction unit_price,2026-03-31,22309513.902995415,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000102002023000,Xe đạp Thống Nhất We Bare Bears 12 Kem,UNKNOWN,,Kem,2026,4,101.22453582070072,893940.48,b. SKU latest transaction unit_price,2026-03-31,90488710.1393344,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000102002023000,Xe đạp Thống Nhất We Bare Bears 12 Kem,UNKNOWN,,Kem,2026,5,73.71607403488969,893940.48,b. SKU latest transaction unit_price,2026-03-31,65897782.60646482,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000102002023000,Xe đạp Thống Nhất We Bare Bears 12 Kem,UNKNOWN,,Kem,2026,6,68.10043718894414,893940.48,b. SKU latest transaction unit_price,2026-03-31,60877737.50889458,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,UNKNOWN,,Hồng,2026,4,151.95673922811454,1094812.4102564105,b. SKU latest transaction unit_price,2026-03-31,166364123.92903692,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,UNKNOWN,,Hồng,2026,5,39.45247659136152,1094812.4102564105,b. SKU latest transaction unit_price,2026-03-31,43193060.98757312,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,UNKNOWN,,Hồng,2026,6,21.794006920669716,1094812.4102564105,b. SKU latest transaction unit_price,2026-03-31,23860349.2459633,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002023000,Xe đạp Thống Nhất We Bare Bears 16 Kem,UNKNOWN,,Kem,2026,4,111.38769664565659,1058827.1333333333,b. SKU latest transaction unit_price,2026-03-31,117940315.52792351,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002023000,Xe đạp Thống Nhất We Bare Bears 16 Kem,UNKNOWN,,Kem,2026,5,73.71607403488969,1058827.1333333333,b. SKU latest transaction unit_price,2026-03-31,78052579.35095002,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002023000,Xe đạp Thống Nhất We Bare Bears 16 Kem,UNKNOWN,,Kem,2026,6,68.10043718894414,1058827.1333333333,b. SKU latest transaction unit_price,2026-03-31,72106590.68751645,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002025000,Xe đạp Thống Nhất We Bare Bears 16 Xanh Mint,UNKNOWN,,Xanh Ngọc/Mint,2026,4,81.7446159773277,1030462.9333333332,b. SKU latest transaction unit_price,2026-03-31,84234796.76420395,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002025000,Xe đạp Thống Nhất We Bare Bears 16 Xanh Mint,UNKNOWN,,Xanh Ngọc/Mint,2026,5,41.27646067592223,1030462.9333333332,b. SKU latest transaction unit_price,2026-03-31,42533862.7457288,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000103002025000,Xe đạp Thống Nhất We Bare Bears 16 Xanh Mint,UNKNOWN,,Xanh Ngọc/Mint,2026,6,38.97087025933251,1030462.9333333332,b. SKU latest transaction unit_price,2026-03-31,40158037.28198453,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,UNKNOWN,,Hồng,2026,4,56.04984629384949,1232890.391304348,b. SKU latest transaction unit_price,2026-03-31,69103316.92977266,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,UNKNOWN,,Hồng,2026,5,39.08454116000074,1232890.391304348,b. SKU latest transaction unit_price,2026-03-31,48186955.2447042,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,UNKNOWN,,Hồng,2026,6,21.794006920669716,1232890.391304348,b. SKU latest transaction unit_price,2026-03-31,26869621.720514152,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002020000,Xe đạp Thống Nhất Tom & Jerry 14 Xanh da trời,UNKNOWN,,Xanh Dương,2026,4,50.20686931627323,1169191.818181818,b. SKU latest transaction unit_price,2026-03-31,58701460.82111042,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002020000,Xe đạp Thống Nhất Tom & Jerry 14 Xanh da trời,UNKNOWN,,Xanh Dương,2026,5,32.24517149548801,1169191.818181818,b. SKU latest transaction unit_price,2026-03-31,37700790.68839415,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000104002020000,Xe đạp Thống Nhất Tom & Jerry 14 Xanh da trời,UNKNOWN,,Xanh Dương,2026,6,12.75969484218829,1169191.818181818,b. SKU latest transaction unit_price,2026-03-31,14918530.811983291,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002004000,Xe đạp Thống Nhất Batwheels 12 Đỏ,UNKNOWN,,Đỏ,2026,4,91.72386378919181,1109565.3793103448,b. SKU latest transaction unit_price,2026-03-31,101773623.717065,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002004000,Xe đạp Thống Nhất Batwheels 12 Đỏ,UNKNOWN,,Đỏ,2026,5,40.7389579007928,1109565.3793103448,b. SKU latest transaction unit_price,2026-03-31,45202537.27590133,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002004000,Xe đạp Thống Nhất Batwheels 12 Đỏ,UNKNOWN,,Đỏ,2026,6,17.686956431861333,1109565.3793103448,b. SKU latest transaction unit_price,2026-03-31,19624834.522163764,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002013000,Xe đạp Thống Nhất Batwheels 12 Xanh,UNKNOWN,,Xanh,2026,4,126.91118066491256,1097078.6266666667,b. SKU latest transaction unit_price,2026-03-31,139231543.7925075,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002013000,Xe đạp Thống Nhất Batwheels 12 Xanh,UNKNOWN,,Xanh,2026,5,45.778910390610676,1097078.6266666667,b. SKU latest transaction unit_price,2026-03-31,50223064.14162756,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000105002013000,Xe đạp Thống Nhất Batwheels 12 Xanh,UNKNOWN,,Xanh,2026,6,29.762120786211717,1097078.6266666667,b. SKU latest transaction unit_price,2026-03-31,32651386.598824605,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002001000,Xe đạp Thống Nhất Batwheels 16 Đen,UNKNOWN,,Đen,2026,4,197.8448602282127,1224682.2450980393,b. SKU latest transaction unit_price,2026-03-31,242297087.60539532,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002001000,Xe đạp Thống Nhất Batwheels 16 Đen,UNKNOWN,,Đen,2026,5,63.89048342254848,1224682.2450980393,b. SKU latest transaction unit_price,2026-03-31,78245540.67832573,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002001000,Xe đạp Thống Nhất Batwheels 16 Đen,UNKNOWN,,Đen,2026,6,48.32294608281557,1224682.2450980393,b. SKU latest transaction unit_price,2026-03-31,59180254.09845407,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002004000,Xe đạp Thống Nhất Batwheels 16 Đỏ,UNKNOWN,,Đỏ,2026,4,198.4478513042204,1226193.3777777778,b. SKU latest transaction unit_price,2026-03-31,243335441.1034642,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002004000,Xe đạp Thống Nhất Batwheels 16 Đỏ,UNKNOWN,,Đỏ,2026,5,42.64776073309682,1226193.3777777778,b. SKU latest transaction unit_price,2026-03-31,52294401.78797446,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002004000,Xe đạp Thống Nhất Batwheels 16 Đỏ,UNKNOWN,,Đỏ,2026,6,17.686956431861333,1226193.3777777778,b. SKU latest transaction unit_price,2026-03-31,21687628.84979244,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002013000,Xe đạp Thống Nhất Batwheels 16 Xanh,UNKNOWN,,Xanh,2026,4,213.83462135880262,1135030.8333333333,b. SKU latest transaction unit_price,2026-03-31,242708888.4763995,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002013000,Xe đạp Thống Nhất Batwheels 16 Xanh,UNKNOWN,,Xanh,2026,5,48.42503661175682,1135030.8333333333,b. SKU latest transaction unit_price,2026-03-31,54963909.65963952,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000106002013000,Xe đạp Thống Nhất Batwheels 16 Xanh,UNKNOWN,,Xanh,2026,6,29.762120786211717,1135030.8333333333,b. SKU latest transaction unit_price,2026-03-31,33780924.757741205,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000114002000000,Xe đạp Thống Nhất TE 16-04,KIDBIKE_1,37,Chưa xác định,2026,4,56.85092633855058,880000.0,b. SKU latest transaction unit_price,2026-03-31,50028815.17792451,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000114002000000,Xe đạp Thống Nhất TE 16-04,KIDBIKE_1,37,Chưa xác định,2026,5,31.129271264558152,880000.0,b. SKU latest transaction unit_price,2026-03-31,27393758.712811176,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000114002000000,Xe đạp Thống Nhất TE 16-04,KIDBIKE_1,37,Chưa xác định,2026,6,12.19096095315813,880000.0,b. SKU latest transaction unit_price,2026-03-31,10728045.638779156,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,KIDBIKE_1,33,Vàng,2026,4,4.464398307684979,1293500.0,b. SKU latest transaction unit_price,2026-03-31,5774699.21099052,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,KIDBIKE_1,33,Vàng,2026,5,4.464398307684979,1293500.0,b. SKU latest transaction unit_price,2026-03-31,5774699.21099052,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,KIDBIKE_1,33,Vàng,2026,6,4.464398307684979,1293500.0,b. SKU latest transaction unit_price,2026-03-31,5774699.21099052,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
000116002023000,Xe đạp thống nhất TE Love 16 Kem,KIDBIKE_2,43,Kem,2026,4,322.6850787903538,749268.9736842106,b. SKU latest transaction unit_price,2026-03-31,241777917.80845705,enhanced_ml_baseline,LightGBM_monthly_minimal_features,2026-05-28T15:46:56.256590
