product_code,product_name,line_id,color,unit,is_active,created_at,base_color
000333002022000,Xe đạp Thống Nhất Super 26 xanh,70,Xanh,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,20,Đỏ Tươi,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Đỏ
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,10,Đen,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Đen
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,9,Coban,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Dương
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,21,Café/Nâu,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Nâu
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,13,Café/Nâu,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Nâu
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,21,Đỏ Tươi,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Đỏ
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,18,Đỏ Tươi,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Đỏ
1030010000080000,Xe đạp Thống Nhất TE Batman12 Ghi,51,Ghi,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Ghi
000131002007000,Xe đạp Thống Nhất GN 06 20 Coban,24,Coban,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Dương
000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",22,Ngọc,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Ngọc/Mint
1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),74,Đen,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Đen
000218004005000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam,61,Cam,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Cam
1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,46,Café/Nâu,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Nâu
1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,46,Xanh Dương,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Dương
000117002023000,Xe đạp thống nhất TE Bunny 16 Kem,41,Kem,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Kem
1000210020090000,Xe đạp Thống Nhất TE Love 12 Hồng,42,Hồng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Hồng
1000220020090000,Xe đạp Thống Nhất TE Love 16 Hồng,43,Hồng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Hồng
1040010000080000,Xe đạp Thống Nhất TE Batman16 Ghi,52,Ghi,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Ghi
000218002007000,Xe đạp Thống Nhất GN 06-27 Coban,11,Coban,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Dương
000224002009000,Xe đạp Thống Nhất New 24 Hồng,20,Hồng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Hồng
000224002002000,Xe đạp Thống Nhất New 24 Trắng,20,Trắng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Trắng
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,20,Café/Nâu,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Nâu
000225002023000,Xe đạp Thống Nhất New 26 Kem,21,Kem,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Kem
000225002002000,Xe đạp Thống Nhất New 26 Trắng,21,Trắng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Trắng
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,21,Xanh Mint,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Xanh Ngọc/Mint
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,32,Hồng,Chiếc,True,2026-05-26 16:47:27.716285+07:00,Hồng
